ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
605,28,8,2022,45,P,759,13,5,20000
5618,4,6,2022,67,L,585,7,7,50000
9962,24,11,2024,72,P,575,7,13,30000
6802,5,3,2024,62,L,791,17,4,20000
5708,16,6,2024,74,P,486,19,1,10000
2549,11,5,2022,38,P,663,7,12,30000
4235,27,10,2024,55,P,924,8,3,40000
2593,18,9,2022,66,L,407,10,5,10000
2329,13,4,2023,68,L,567,18,10,50000
363,29,10,2023,55,L,948,1,14,20000
993,20,8,2022,39,P,54,14,12,10000
8553,17,2,2024,41,P,891,1,3,10000
2351,26,1,2022,55,L,282,15,7,50000
2510,30,5,2022,51,L,444,16,9,30000
2754,7,4,2024,33,L,355,17,3,20000
5716,10,1,2024,40,L,565,14,5,50000
6131,27,1,2022,37,P,852,8,13,20000
483,10,2,2022,70,L,843,14,3,40000
7733,31,3,2024,55,P,665,2,6,10000
7831,31,1,2022,50,P,188,11,10,30000
2484,27,10,2023,66,P,557,5,1,10000
787,23,6,2024,75,L,983,3,10,40000
1994,16,6,2024,36,P,405,14,2,30000
2401,8,2,2024,54,P,474,19,12,50000
3448,30,11,2024,47,P,90,9,3,10000
656,24,4,2023,30,P,448,3,2,30000
5605,6,1,2023,59,L,778,2,6,20000
7104,9,4,2024,46,L,459,8,1,10000
9136,26,5,2024,55,L,682,1,14,20000
9053,16,7,2022,48,P,260,5,5,50000
4863,21,8,2022,59,P,864,13,10,20000
4630,20,11,2022,64,P,846,12,7,30000
300,7,3,2022,49,L,44,5,14,10000
3482,25,5,2024,42,P,936,12,8,40000
4498,2,10,2024,26,P,770,1,12,40000
6179,14,1,2023,58,L,998,14,4,50000
5933,14,3,2024,35,P,865,18,2,10000
3660,15,2,2023,50,P,71,14,2,30000
3779,1,8,2023,74,L,145,14,7,10000
2412,13,4,2024,26,P,206,7,9,40000
4512,21,6,2023,37,L,937,19,9,50000
7288,10,10,2023,21,P,105,7,1,50000
1175,10,8,2023,33,P,448,18,7,30000
9752,19,11,2023,78,P,470,16,12,20000
6837,24,11,2023,80,P,798,5,9,20000
7020,17,8,2022,36,P,880,9,10,50000
4224,3,12,2022,45,P,848,8,9,40000
9772,14,8,2023,49,L,751,1,1,50000
2738,24,10,2022,70,L,849,5,6,30000
1367,21,3,2024,58,P,863,19,12,50000
959,15,7,2022,46,P,199,17,2,10000
2084,2,10,2024,27,L,546,1,5,30000
1934,4,6,2022,21,L,241,19,7,20000
833,28,11,2024,60,P,576,15,5,50000
2974,25,4,2024,22,P,486,5,13,30000
2067,29,1,2022,25,P,325,10,8,50000
6144,28,11,2024,39,P,683,1,6,10000
100,22,8,2024,65,L,668,19,2,30000
4968,16,5,2022,29,L,889,14,8,30000
9378,18,5,2022,50,L,739,11,2,30000
1425,15,6,2024,47,P,724,2,2,10000
1505,4,4,2023,50,L,622,14,14,40000
2748,23,10,2023,52,P,843,13,13,50000
9965,14,8,2022,45,P,363,10,12,20000
4823,7,10,2022,78,P,878,5,13,40000
3569,19,7,2023,22,L,489,13,2,30000
5036,6,3,2022,36,P,35,10,12,40000
2869,2,7,2024,28,P,174,11,12,50000
3842,4,11,2022,29,L,730,19,3,40000
5346,25,12,2023,73,P,331,5,7,30000
5431,24,1,2023,36,P,343,9,6,30000
8767,22,8,2022,75,L,198,16,14,30000
3958,21,9,2023,36,L,936,19,11,40000
8137,28,6,2024,77,L,846,4,5,30000
5314,7,10,2023,58,P,498,15,9,50000
1781,19,1,2022,35,L,428,17,12,40000
591,10,2,2023,73,L,694,7,2,10000
7346,25,7,2024,28,P,854,12,13,20000
6026,11,5,2024,70,L,836,14,1,40000
1587,7,5,2024,64,P,282,1,14,10000
1660,18,7,2022,38,P,438,7,5,20000
9065,11,5,2024,21,P,591,17,6,50000
2296,6,2,2023,34,P,747,19,12,10000
3025,28,1,2023,48,P,258,20,6,30000
8598,8,9,2024,70,P,251,5,11,20000
371,17,4,2024,76,P,213,3,1,40000
5610,23,2,2024,66,P,76,5,3,10000
5947,9,7,2023,70,L,467,6,13,30000
5101,8,4,2023,41,P,720,4,3,30000
5251,9,12,2022,77,P,281,14,12,10000
5030,11,1,2023,32,L,250,4,6,30000
574,17,12,2024,74,L,930,8,12,50000
8149,11,12,2024,66,P,418,4,10,40000
9580,3,8,2022,62,P,136,1,12,30000
9691,22,5,2023,60,L,173,12,11,40000
6878,4,2,2022,74,P,840,13,10,10000
6201,23,12,2022,31,L,311,19,11,10000
897,19,8,2024,50,L,724,3,14,10000
1217,8,8,2022,80,L,381,5,5,30000
2027,19,1,2023,56,P,681,12,13,20000
8171,10,2,2024,45,L,260,5,4,20000
8268,23,2,2022,47,P,257,17,13,10000
8333,17,6,2022,80,L,32,19,3,50000
3470,5,1,2022,35,L,128,14,1,30000
4531,28,8,2022,66,P,538,2,2,10000
6526,9,3,2023,77,P,899,13,4,30000
6632,29,11,2022,21,L,995,16,4,20000
4824,19,5,2022,26,P,821,18,4,10000
1479,4,8,2023,71,P,944,6,7,40000
9550,18,7,2024,80,L,86,20,5,10000
4108,9,8,2022,66,P,218,20,1,50000
5048,17,11,2022,67,L,495,3,5,10000
9610,23,7,2023,36,P,896,12,5,40000
395,21,4,2024,34,L,462,1,14,50000
5438,5,12,2024,53,L,539,1,14,30000
8598,15,9,2024,43,P,672,13,9,40000
468,13,2,2024,30,L,622,8,3,40000
2540,2,8,2024,57,L,960,1,5,40000
4423,25,4,2023,49,L,679,10,12,40000
6289,3,5,2022,37,L,539,14,11,50000
3697,26,2,2024,36,L,975,12,14,30000
7313,29,1,2022,67,P,423,4,14,50000
4295,8,9,2024,72,P,109,12,2,20000
8594,13,9,2022,63,P,320,15,8,10000
122,17,7,2023,38,L,845,12,2,20000
1031,10,6,2022,24,L,104,2,13,20000
1105,4,12,2024,39,L,735,2,12,10000
2122,16,1,2022,62,L,667,10,12,10000
4859,16,4,2023,58,L,974,15,14,20000
3665,15,11,2024,32,P,393,16,3,40000
6096,11,12,2024,28,P,670,2,8,40000
4014,23,5,2024,74,P,806,12,7,40000
7804,17,7,2022,32,P,425,11,14,50000
6408,9,10,2022,33,P,440,6,11,10000
7472,15,9,2022,21,L,364,2,13,50000
2896,4,5,2024,80,L,841,12,11,20000
9558,19,2,2022,43,P,743,18,1,40000
7587,1,9,2023,73,P,970,5,3,40000
5032,16,4,2024,27,P,246,2,12,30000
8885,15,6,2022,38,P,656,10,2,50000
7394,7,7,2022,25,P,935,7,11,30000
5386,15,2,2024,41,P,470,8,8,50000
755,31,12,2022,61,L,535,15,2,30000
3255,5,3,2023,33,P,982,6,3,50000
7054,27,1,2022,76,P,214,8,6,40000
3996,4,3,2023,74,L,331,5,11,20000
3375,17,12,2023,78,L,177,2,6,40000
7404,28,5,2023,27,P,587,7,10,30000
1583,20,1,2023,33,P,588,12,7,20000
6070,31,6,2023,29,P,138,9,1,30000
3257,6,9,2024,37,L,809,19,3,10000
8200,13,11,2024,46,P,437,4,14,10000
7731,15,10,2023,65,L,300,10,13,50000
8771,29,10,2024,61,L,732,14,12,20000
2391,13,5,2022,48,P,596,3,12,30000
9701,27,9,2022,56,L,376,10,3,30000
155,6,6,2023,77,P,178,9,4,20000
155,18,12,2024,75,P,380,4,10,10000
4272,13,9,2023,70,L,970,4,8,40000
9506,25,1,2024,79,P,367,12,3,50000
7391,25,3,2024,57,P,823,18,8,50000
9401,27,3,2023,54,P,509,7,8,40000
4547,3,1,2024,24,L,903,13,11,10000
9496,9,5,2023,43,P,586,10,14,40000
2149,6,9,2022,34,P,905,15,9,40000
4336,1,12,2023,55,L,978,12,7,20000
3222,28,6,2022,61,P,709,19,1,50000
2212,14,9,2022,40,P,760,7,11,20000
7463,8,5,2024,23,L,192,3,9,10000
5854,4,12,2024,50,L,549,15,2,40000
8314,17,10,2024,43,P,632,5,13,50000
3503,18,9,2022,51,P,68,6,1,30000
5608,14,12,2023,23,L,573,17,9,40000
8896,16,4,2024,66,L,837,4,1,30000
7785,26,5,2023,33,P,346,9,8,50000
7500,1,12,2022,22,P,501,16,2,10000
5149,8,6,2024,37,L,74,15,4,30000
9355,17,9,2023,42,L,455,4,7,10000
3362,16,12,2024,68,L,854,11,8,30000
1264,22,12,2022,56,P,756,15,10,10000
7247,31,12,2023,36,P,377,12,9,40000
6272,10,9,2024,25,L,95,17,5,20000
1396,7,8,2023,40,P,495,16,9,20000
5042,4,2,2024,44,P,671,3,6,20000
7930,27,8,2023,43,P,492,3,13,50000
2107,11,3,2022,60,P,351,5,8,30000
2815,14,3,2023,50,L,664,15,14,30000
9543,3,10,2023,23,L,891,8,9,20000
7119,22,4,2023,32,L,988,3,2,50000
334,2,4,2024,75,L,676,1,8,40000
6713,7,11,2024,64,L,775,9,11,50000
8400,21,12,2022,36,P,174,5,13,50000
4771,11,7,2023,75,L,470,6,8,40000
8247,15,10,2023,30,L,69,12,12,20000
3436,10,8,2024,30,P,577,12,1,30000
3028,1,8,2024,60,L,101,15,5,40000
6737,12,8,2023,30,P,680,7,5,30000
5345,6,3,2024,74,L,458,14,7,30000
9973,7,3,2022,63,P,113,19,10,30000
9723,28,8,2024,41,L,539,14,14,30000
4063,7,5,2023,55,L,419,10,11,40000
6035,30,12,2023,72,L,418,7,12,10000
1669,8,8,2024,77,P,21,17,11,50000
1508,10,5,2024,46,L,693,4,2,50000
1416,21,7,2023,24,P,829,18,8,20000
8334,16,11,2022,46,P,245,10,7,50000
7507,31,8,2022,32,P,274,20,13,20000
9456,9,8,2024,63,L,979,12,13,50000
4630,8,5,2023,25,L,873,18,3,10000
603,28,6,2024,75,L,699,11,12,50000
7851,25,10,2022,24,L,209,19,8,10000
2631,7,10,2024,49,P,493,2,6,50000
6775,2,5,2022,43,P,992,13,10,50000
4809,21,1,2024,73,P,972,11,2,10000
3008,15,10,2022,71,L,678,4,11,20000
6921,20,5,2024,23,L,199,15,3,10000
4808,26,3,2022,40,L,317,15,4,50000
8290,11,6,2024,53,L,259,11,5,30000
6093,12,5,2023,27,P,134,20,13,50000
1249,27,2,2022,28,P,159,15,7,50000
8095,28,8,2022,35,L,758,3,8,30000
7780,26,2,2024,45,P,910,7,12,50000
1277,22,4,2024,29,L,795,18,11,20000
5482,25,1,2022,63,P,132,9,11,30000
3529,23,1,2022,69,L,636,19,13,40000
711,1,5,2024,54,P,468,12,13,40000
2972,18,1,2024,31,P,266,14,1,50000
8390,25,4,2022,54,L,408,19,1,40000
3663,1,1,2022,24,L,572,15,12,30000
5935,15,5,2023,48,P,235,4,5,10000
5305,3,9,2023,26,L,748,18,3,50000
7756,15,1,2023,44,P,476,4,10,10000
7286,9,1,2023,26,L,391,8,7,50000
8853,6,5,2022,73,P,277,14,3,20000
8367,31,6,2024,39,L,124,6,7,40000
4940,8,2,2024,64,P,613,17,11,50000
7810,9,2,2023,64,P,988,10,6,50000
